id,name,brand,kind,status,physicalCount,functionSheetCount,functionTableCount,purposeRows,completeDeviceApproved,missing
guition-cyd-esp32-1732s019,ESP32-1732S019,Guition,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
guition-cyd-esp32-2424s012,ESP32-2424S012,Guition,board,reference-only,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
guition-cyd-esp32-2432s024,ESP32-2432S024,Guition,board,reference-only,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
guition-cyd-esp32-2432s028,ESP32-2432S028,Guition,board,reference-only,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
guition-cyd-esp32-2432s032,ESP32-2432S032,Guition,board,reference-only,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
guition-cyd-esp32-3248s035,ESP32-3248S035,Guition,board,reference-only,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
guition-cyd-esp32-4827s043,ESP32-4827S043,Guition,board,reference-only,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
guition-cyd-esp32-4848s040,ESP32-4848S040,Guition,board,reference-only,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
guition-cyd-esp32-8048s050,ESP32-8048S050,Guition,board,reference-only,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
guition-cyd-esp32-8048s070,ESP32-8048S070,Guition,board,reference-only,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
guition-cyd-esp32-8048s550c,esp32-8048S550C,Guition,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
guition-cyd-jc1060p470c-i-w,JC1060P470C_I_W,Guition,board,reference-only,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
guition-cyd-jc1060p470c-i-w-y,JC1060P470C_I_W_Y,Guition,board,reference-only,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
guition-cyd-jc2432w328,JC2432W328,Guition,board,reference-only,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
guition-cyd-jc2432w328c,JC2432W328C,Guition,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
guition-cyd-jc3248w535,JC3248W535,Guition,board,reference-only,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
guition-cyd-jc3248w535n,JC3248W535N,Guition,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
guition-cyd-jc3636k518,JC3636K518,Guition,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
guition-cyd-jc3636w518,JC3636W518,Guition,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
