id,brand,name,status,specification_urls,source_urls
guition-cyd-esp32-1732s019,Guition,ESP32-1732S019,Source documentation available; dedicated specs not verified,,https://www.guition.com/-download
guition-cyd-esp32-2424s012,Guition,ESP32-2424S012,Source documentation available; dedicated specs not verified,,https://www.guition.com/-download
guition-cyd-esp32-2432s024,Guition,ESP32-2432S024,Source documentation available; dedicated specs not verified,,https://www.guition.com/-download
guition-cyd-esp32-2432s028,Guition,ESP32-2432S028,Source documentation available; dedicated specs not verified,,https://www.guition.com/-download
guition-cyd-esp32-2432s032,Guition,ESP32-2432S032,Source documentation available; dedicated specs not verified,,https://www.guition.com/-download
guition-cyd-esp32-3248s035,Guition,ESP32-3248S035,Source documentation available; dedicated specs not verified,,https://www.guition.com/-download
guition-cyd-esp32-4827s043,Guition,ESP32-4827S043,Source documentation available; dedicated specs not verified,,https://www.guition.com/-download
guition-cyd-esp32-4848s040,Guition,ESP32-4848S040,Source documentation available; dedicated specs not verified,,https://www.guition.com/-download
guition-cyd-esp32-8048s050,Guition,ESP32-8048S050,Source documentation available; dedicated specs not verified,,https://www.guition.com/-download
guition-cyd-esp32-8048s070,Guition,ESP32-8048S070,Source documentation available; dedicated specs not verified,,https://www.guition.com/-download
guition-cyd-esp32-8048s550c,Guition,esp32-8048S550C,Source documentation available; dedicated specs not verified,,https://raw.githubusercontent.com/rzeldent/platformio-espressif32-sunton/0d9a9b1a494bd245744f139d7cc583584fe3bce1/esp32-8048S550C.json
guition-cyd-jc1060p470c-i-w,Guition,JC1060P470C_I_W,Source documentation available; dedicated specs not verified,,https://www.guition.com/-download
guition-cyd-jc1060p470c-i-w-y,Guition,JC1060P470C_I_W_Y,Source documentation available; dedicated specs not verified,,https://www.guition.com/-download
guition-cyd-jc2432w328,Guition,JC2432W328,Source documentation available; dedicated specs not verified,,https://www.guition.com/-download | https://f1atb.fr/esp32-2432s028-esp32-2432s024-jc2432w328/
guition-cyd-jc2432w328c,Guition,JC2432W328C,Source documentation available; dedicated specs not verified,,https://raw.githubusercontent.com/rzeldent/platformio-espressif32-sunton/0d9a9b1a494bd245744f139d7cc583584fe3bce1/JC2432W328C.json
guition-cyd-jc3248w535,Guition,JC3248W535,Source documentation available; dedicated specs not verified,,https://www.guition.com/-download
guition-cyd-jc3248w535n,Guition,JC3248W535N,Source documentation available; dedicated specs not verified,,https://raw.githubusercontent.com/rzeldent/platformio-espressif32-sunton/0d9a9b1a494bd245744f139d7cc583584fe3bce1/JC3248W535N.json
guition-cyd-jc3636k518,Guition,JC3636K518,Source documentation available; dedicated specs not verified,,https://www.guition.com/-download
guition-cyd-jc3636w518,Guition,JC3636W518,Source documentation available; dedicated specs not verified,,https://www.guition.com/-download
guition-cyd-jc4827w543,Guition,JC4827W543,Source documentation available; dedicated specs not verified,,https://www.guition.com/-download
guition-cyd-jc4827w543c,Guition,JC4827W543C,Source documentation available; dedicated specs not verified,,https://raw.githubusercontent.com/rzeldent/platformio-espressif32-sunton/0d9a9b1a494bd245744f139d7cc583584fe3bce1/JC4827W543C.json
guition-cyd-jc4880p443c-i-w,Guition,JC4880P443C_I_W,Source documentation available; dedicated specs not verified,,https://www.guition.com/-download
guition-cyd-jc8012p4a1c-i-w,Guition,JC8012P4A1C_I_W,Source documentation available; dedicated specs not verified,,https://www.guition.com/-download
guition-cyd-jc8048w550,Guition,JC8048W550,Source documentation available; dedicated specs not verified,,https://www.guition.com/-download
guition-cyd-jc8048w550c,Guition,JC8048W550C,Source documentation available; dedicated specs not verified,,https://raw.githubusercontent.com/rzeldent/platformio-espressif32-sunton/0d9a9b1a494bd245744f139d7cc583584fe3bce1/JC8048W550C.json
sunton-cyd-esp32-1732s019c,Sunton,esp32-1732S019C,Source documentation available; dedicated specs not verified,,https://raw.githubusercontent.com/rzeldent/platformio-espressif32-sunton/0d9a9b1a494bd245744f139d7cc583584fe3bce1/esp32-1732S019C.json
sunton-cyd-esp32-1732s019n,Sunton,esp32-1732S019N,Source documentation available; dedicated specs not verified,,https://raw.githubusercontent.com/rzeldent/platformio-espressif32-sunton/0d9a9b1a494bd245744f139d7cc583584fe3bce1/esp32-1732S019N.json
sunton-cyd-esp32-2424s012c,Sunton,esp32-2424S012C,Source documentation available; dedicated specs not verified,,https://raw.githubusercontent.com/rzeldent/platformio-espressif32-sunton/0d9a9b1a494bd245744f139d7cc583584fe3bce1/esp32-2424S012C.json
